---------------------------------------- paraformer-large普通版
speaker0 : 哎，
speaker0 : 你好，
speaker0 : 佳环妈妈哎，
speaker0 : 你好哎，
speaker0 : 你好，
speaker0 : 咱这是小雨，
speaker0 : 我是问一下陈德文静，
speaker0 : 我说看客户老师这边前两天联系，
speaker0 : 咱预约了一个本周六晚上六点的课程，
speaker0 : 说，
speaker0 : 对怎么了？
speaker0 : 对，
speaker0 : 我说这边是接待您的老师，
speaker0 : 是要跟您沟通一下的，
speaker0 : 就是周六这边是能带孩子过来吧，
speaker0 : 不知道呢？
speaker0 : 嗯，
speaker0 : 我就我有空，
speaker0 : 你再去了，
speaker0 : 没空就不去，
speaker0 : 就这样行吗？
speaker0 : 哦，
speaker0 : 呃我加一下您微信吧，
speaker0 : 因为也得提前给咱们去安排。
speaker0 : 您这边如果有什么变化，
speaker0 : 再提前跟我说，
speaker0 : 要不老师到时候就给咱们提前排出来了。
speaker0 : 不是你这你这如果一个孩子导航了不无所谓吗？
speaker0 : 为什么非要非要那个？
speaker0 : 所以这有啥题安的，
speaker0 : 就跟我们上课不一样吗？
speaker0 : 我也得给学生上课呀，
speaker0 : 你就多一个学生，
speaker0 : 你就听就行了。
speaker0 : 现在你愿意教，
speaker0 : 你就教，
speaker0 : 不愿意教就拉倒呗，
speaker0 : 不是亲爱的，
speaker0 : 咱们是这个体验课，
speaker0 : 不是说正式上课，
speaker0 : 正式上课肯定每天都有，
speaker0 : 但是体验课它不见得是每天都有呀，
speaker0 : 你不周六晚上吗？
speaker0 : 对呀，
speaker0 : 周六晚上是周六晚上，
speaker0 : 周六晚上呃，
speaker0 : 他正式那个他都有，
speaker0 : 你不记得每天都有。
speaker0 : 那那周五，
speaker0 : 你现在你说这个有啥关系吗？
speaker0 : 我就想问我说我加上您微信，
speaker0 : 您到时候那个您说有时间来，
speaker0 : 我说咱提前确认好时间跟我说好吧啊，
speaker0 : 没有什么别的那个意思啊。
speaker0 : 亲爱的，
speaker0 : 这个肯定得提前给咱们去确认的。
speaker0 : 他不是说咱们正式上课的是体验课呀，
speaker0 : 体验课就是有孩子安排，
speaker0 : 有时候周中这种场次。
speaker0 : 因为这周六他不是说那个咱们那个放假放假的话，
speaker0 : 每天场次还是挺多的，
speaker0 : 肯定都有安排这个放放假这一天的话就是周中他不见得都是很多孩子，
speaker0 : 所以有咱们就提前安排。
speaker0 : 行好嘞啊嗯好嘞，
speaker0 : 有什么需要的，
speaker0 : 随时再联系哈，
speaker0 : 再见。
speaker0 : 嗯，
speaker0 : 好。


---------------------------------------- paraformer-large热词版
speaker0 : 哎，
speaker0 : 你好，
speaker0 : 佳环妈妈哎，
speaker0 : 你好哎，
speaker0 : 你好，
speaker0 : 咱这是小雨，
speaker0 : 我是问一下陈腾文景，
speaker0 : 我说看客户老师这边前两天联系，
speaker0 : 咱预约了一个本周六晚上六点的课程，
speaker0 : 说，
speaker0 : 对怎么了？
speaker0 : 对，
speaker0 : 我说这边是接待您的老师，
speaker0 : 是要跟您沟通一下的，
speaker0 : 就是周六这边是能带孩子过来吧，
speaker0 : 不知道呢，
speaker0 : 你我就我有空，
speaker0 : 你再去了，
speaker0 : 没空就不去，
speaker0 : 就这样行吗？
speaker0 : 哦，
speaker0 : 呃我加一下您微信吧，
speaker0 : 因为也得提前给咱们去安排。
speaker0 : 您这边如果有什么变化，
speaker0 : 再提前跟我说，
speaker0 : 要不老师到时候就给咱们提前排出来了。
speaker0 : 不是你这你这如果一个孩子导他了，
speaker0 : 不无所谓吗？
speaker0 : 为什么非要非要那个？
speaker0 : 所以这有啥题安的，
speaker0 : 就跟我们上课不一样样，
speaker0 : 我也在给学生上课呀，
speaker0 : 你就多一个学生，
speaker0 : 你就听就行了。
speaker0 : 现在你愿意教，
speaker0 : 你就教，
speaker0 : 不愿意教就拉倒呗，
speaker0 : 不是亲爱的，
speaker0 : 咱们是这个体验课，
speaker0 : 不是说正式上课，
speaker0 : 正式上课肯定每天都有，
speaker0 : 但是体验课它不见得是每天都有呀，
speaker0 : 你不周六晚上吗？
speaker0 : 对呀，
speaker0 : 周六晚上是周六晚上，
speaker0 : 周六晚上呃，
speaker0 : 他正式那个他都有，
speaker0 : 你不记得每天都有。
speaker0 : 那那周五，
speaker0 : 你现在你说这个有啥关系吗？
speaker0 : 我就想问我说我加上您微信，
speaker0 : 您到时候那个您说有时间就来，
speaker0 : 我说咱提前确认好时间跟我说好吧啊，
speaker0 : 没有什么别的那个意思啊。
speaker0 : 亲爱的，
speaker0 : 这个肯定得提前给咱们去确认的。
speaker0 : 他不是说咱们正式上课的是体验课呀，
speaker0 : 体验课就是有孩子安排。
speaker0 : 有时候周中这种场次。
speaker0 : 因为这周六他不是说那个咱们那个放假放假的话，
speaker0 : 每天场次还是挺多的，
speaker0 : 肯定都有安排这个放放假这一天的话就是周中他不见得都是很多孩子，
speaker0 : 所以有咱们就提前安排。
speaker0 : 行好嘞啊嗯好嘞，
speaker0 : 有什么需要的，
speaker0 : 随时再联系哈，
speaker0 : 再见。
speaker0 : 嗯，
speaker0 : 好。
